,InchiKey,ClassyFire compound kingdom,SMILES,both same,SMILES with metal ions removed,Status,Dataset
0,AAEVYOVXGOFMJO-UHFFFAOYSA-N,Organic compounds,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,True,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,0,USEPA
1,AANLCWYVVNBGEE-IDIVVRGQSA-L,Organic compounds,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1nc[nH]c2=O)COP(=O)([O-])[O-].[Na+].[Na+],False,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1nc[nH]c2=O)COP(=O)([O-])[O-],0,CPDBAS
2,AAOVKJBEBIDNHE-UHFFFAOYSA-N,Organic compounds,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,True,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,0,IARC
3,AASZBFHIHXZWRI-UHFFFAOYSA-N,Organic compounds,Nc1nc(C)c2c(c1)[nH]c1c2cccc1.CC(=O)O,True,Nc1nc(C)c2c(c1)[nH]c1c2cccc1.CC(=O)O,1,CCRIS
4,ABNDFSOIUFLJAH-UHFFFAOYSA-N,Organic compounds,N#CSCc1ccccc1,True,N#CSCc1ccccc1,0,CPDB
5,ABVBOWJCKJGCJM-DMTCNVIQSA-N,Organic compounds,O=NN1C[C@@H](C[C@H]1C(=O)O)O,True,O=NN1C[C@@H](C[C@H]1C(=O)O)O,0,IARC
6,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Organic compounds,Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,True,Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,0,CCRIS
7,ADAHGVUHKDNLEB-UHFFFAOYSA-N,Organic compounds,C1CC2C(C1OC1CCC3C1O3)O2,True,C1CC2C(C1OC1CCC3C1O3)O2,0,IARC
8,ADIMAYPTOBDMTL-UHFFFAOYSA-N,Organic compounds,O=C1Nc2ccc(cc2C(=NC1O)c1ccccc1)Cl,True,O=C1Nc2ccc(cc2C(=NC1O)c1ccccc1)Cl,1,CPDBAS
9,ADLADNOVIJYIMA-UHFFFAOYSA-N,Organic compounds,O=NN1CCC(=O)CC1,True,O=NN1CCC(=O)CC1,1,CCRIS
10,ADQSUDSYBZBMFT-GFPJEPEZSA-H,Organic compounds,O[C@H]([C@H](C(=O)[O-])O)[C@@H]([C@@H](C(=O)[O-])O)O.O[C@H]([C@H](C(=O)[O-])O)[C@@H]([C@@H](C(=O)[O-])O)O.O[C@H]([C@H](C(=O)[O-])O)[C@@H]([C@@H](C(=O)[O-])O)O.[Fe+3].[Fe+3],False,O[C@H]([C@H](C(=O)[O-])O)[C@@H]([C@@H](C(=O)[O-])O)O.O[C@H]([C@H](C(=O)[O-])O)[C@@H]([C@@H](C(=O)[O-])O)O.O[C@H]([C@H](C(=O)[O-])O)[C@@H]([C@@H](C(=O)[O-])O)O,0,IARC
11,ADZHXBNWNZIHIX-XYGAWYNKSA-N,Organic compounds,Oc1cc(O)c2c(c1)[o+]c(c(c2)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O)c1ccc(c(c1)O)O.[Cl-],True,Oc1cc(O)c2c(c1)[o+]c(c(c2)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O)c1ccc(c(c1)O)O.[Cl-],0,CCRIS
12,AEMFNILZOJDQLW-QAGGRKNESA-N,Organic compounds,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C,True,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C,1,CCRIS
13,AEMRFAOFKBGASW-UHFFFAOYSA-N,Organic compounds,OCC(=O)O,True,OCC(=O)O,0,CCRIS
